,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
0,185.79975694119844,Private room,False,True,2.0,True,0,0,10.0,98.0,1,3.582210844251585,0.17470559602907046,105.06370826819216,16.019041940443483,148.94111443361328,30.71063800383613,13.42344,52.4915
1,194.9144619986912,Private room,False,True,5.0,False,0,1,9.0,86.0,1,3.5254103004986552,0.5119217798128007,75.33952911059728,11.487002472016279,106.44235564569016,21.947684928646137,13.468,52.519
2,176.21763111152657,Private room,False,True,2.0,False,0,0,9.0,91.0,1,3.801712817590346,0.28139653030634343,73.66917597520657,11.232324073811712,105.440204607798,21.7410482463109,13.47096,52.515269999999994
3,207.7685332336169,Private room,False,True,3.0,True,0,0,10.0,97.0,1,0.9824081724298934,0.7055730839088616,133.18740887759233,20.307056774571034,198.23336204925278,40.87436196062239,13.42281,52.53139
4,150.74319902776477,Private room,False,True,2.0,False,0,0,10.0,99.0,1,8.869697201153345,2.1871882566567384,39.86015115083815,6.0774690286750905,50.996308153377115,10.515089572050327,13.5244,52.47841999999999
5,139.29139010937644,Private room,False,True,2.0,False,1,0,8.0,87.0,1,3.5446645615056958,0.36655249818346036,103.48108233549907,15.777739290748988,148.4580494254318,30.611033306671104,13.427270000000002,52.49224
6,417.4067495559502,Entire home/apt,False,False,6.0,True,0,0,10.0,97.0,2,3.8388236537668123,0.2984301208001406,210.9533840533192,32.164018977918275,198.13289134427444,40.85364558917376,13.37279,52.501569999999994
7,135.55202393194352,Private room,False,True,2.0,True,0,0,10.0,96.0,1,3.7314525410538897,0.9366748744194608,95.33370885328476,14.535510935521966,126.47633626086991,26.078554559831087,13.43842,52.49265
8,260.8207908759465,Private room,False,True,2.0,True,1,0,10.0,100.0,1,9.113951206307854,0.38334567616945026,62.735187125893354,9.56522104803248,101.64409610377061,20.958316664545865,13.285,52.507
9,191.17509582125828,Entire home/apt,False,False,3.0,True,1,0,10.0,98.0,1,13.62054945396812,5.514004440826071,26.96359864185215,4.1111343262941045,35.68835644269832,7.358694742089504,13.58363,52.45568000000001
10,235.58006917827427,Entire home/apt,False,False,2.0,True,0,0,10.0,94.0,1,2.576319513314146,0.4603702995506441,202.90096235631785,30.93626790180807,154.1409480351886,31.78280808947988,13.43777,52.50422
11,95.12012713845003,Private room,False,True,2.0,False,0,1,9.0,90.0,1,3.5562896704421676,0.187019331668555,77.18810591936536,11.768854596959333,114.04575748156411,23.51545432709056,13.467139999999999,52.515069999999994
12,229.73730952603532,Private room,False,True,3.0,False,0,0,10.0,98.0,1,9.974867072500617,0.5002907750331211,52.859092000259814,8.059414860214629,75.50431907745343,15.568473619467582,13.308860000000001,52.46245
13,208.7033747779751,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,5.787913939105444,0.3502224499837495,54.89020941494172,8.369098913710056,69.11618959949571,14.25128506031632,13.50004,52.51278000000001
14,266.66355052818545,Entire home/apt,False,False,6.0,False,0,1,8.0,87.0,2,1.1977659341124332,0.5947599139488337,130.57966090046193,19.909453978093257,215.54543489179096,44.443992845855284,13.42084,52.53386999999999
15,375.5725904459194,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,6.998010723417212,0.19794689625722883,93.64773797639855,14.278451303491227,193.01211289304706,39.79777613424508,13.323879999999999,52.49587
16,285.36038141535005,Entire home/apt,False,False,5.0,False,0,1,8.0,88.0,2,1.1880879467190442,0.519463672939647,133.27964044166956,20.321119302132065,227.02057264500806,46.81008768087333,13.419620000000002,52.53394
17,577.4983640272973,Entire home/apt,False,False,3.0,False,0,0,10.0,80.0,2,10.609089228646676,1.0051583409838138,49.398100515221756,7.531718201984955,71.9782742758312,14.841427324025805,13.286079999999998,52.47096
18,148.4060951668692,Shared room,True,False,6.0,False,0,1,9.0,92.0,1,0.9327523073436862,0.3524123139270864,149.65166441251682,22.81735842182387,194.41456384575702,40.086951918182216,13.425820000000002,52.517230000000005
